,_id,location_name,lon,lat
0,0,Menthon-Saint-Bernard,6.1961189,45.8597877
1,1,Talloires,6.2149626,45.8395012
2,2,Lathuile,6.2054177,45.7828756
3,3,La Muraz,6.206389,46.124167
4,4,Le Sappey,6.166667,46.089444
5,5,Saint-Eustache,6.1482421,45.795938
6,6,Entrevernes,6.18905,45.7962626
7,7,Alex,6.2376659,45.8889285
8,8,Bluffy,6.2177619,45.8688969
9,9,Montmin,6.2648853,45.8031977
10,10,Le Bouchet-Mont-Charvin,6.3640171,45.7977324
11,11,Saint-Ferréol,6.305315,45.7665261
12,12,Cons-Sainte-Colombe,6.3258479,45.7488656
13,13,Seythenex,6.2991625,45.7261181
14,14,La Balme-de-Thuy,6.2735207,45.9005384
15,15,Les Ollières,6.1820821,45.9788022
16,16,Aviernoz,6.2221901,45.9777177
17,17,Saint-Martin-Bellevue,6.1399113,45.9628889
18,18,Cuvat,6.1173503,45.9739992
19,19,Choisy,6.057783,45.9926863
20,20,Giez,6.2472865,45.7528278
21,21,Cercier,6.0482784,46.025762
22,22,Allonzier-la-Caille,6.1185532,46.0001467
23,23,Bossey,6.1588637,46.1516629
24,24,Pas de l'Echelle,6.1886452,46.1646978
25,25,Novel,6.7885646,46.3687798
26,26,Viuz-la-Chiésaz,6.0622408,45.8105901
27,27,Mégevette,6.4983594,46.199936
28,28,Bellevaux,6.531944,46.2575
29,29,La Vernaz,6.5941385,46.3152372
30,30,Vailly,6.5438702,46.3038795
31,31,Cordon,6.6105436,45.9221674
32,32,Mésigny,6.0055968,45.9873863
33,33,Chilly,5.9530881,45.9916777
34,34,Sallenôves,5.9987362,46.0067157
35,35,Combloux,6.6448413,45.8949213
36,36,Pontchy,6.4057667,46.0684829
37,37,Passy,6.6859905,45.9234886
38,38,Savigny,5.9613474,46.0674035
39,39,Cernex,6.0491286,46.0625428
40,40,Les Clefs,6.3286235,45.8606819
41,41,Meillerie,6.7196268,46.407401
42,42,Droisy,5.8831548,45.9657378
43,43,Mijouet,6.3685596,46.1731116
44,44,Dalmaz,6.0493883,45.9690627
45,45,Amphion-les-Bains,6.5382952,46.3923461
46,46,Larringes,6.5725063,46.3692653
47,47,La Chapelle-Rambaud,6.2400559,46.0716672
48,48,Arbusigny,6.2192411,46.0931354
49,49,Le Souget,6.2266966,46.0837077
50,50,Ésery,6.2371553,46.1480034
51,51,Marny,6.236349,46.0942275
52,52,Marny-Dessous,6.230183,46.0915623
53,53,Grande Rive,6.6153005,46.402678
54,54,Domancy,6.6490124,45.9126189
55,55,Servoz,6.7668905,45.9308109
56,56,Saint-Gingolph,6.8039081,46.3930663
57,57,Margencel,6.4324291,46.338746
58,58,La Chapelle-d'Abondance,6.7883361,46.2957033
59,59,Les Contamines-Montjoie,6.72751,45.8210905
60,60,Romme,6.5729618,46.0304226
61,61,Burdignin,6.4232977,46.2205753
62,62,Villy-le-Bouveret,6.1620534,46.0425537
63,63,Vovray-en-Bornes,6.1423232,46.0640352
64,64,Menthonnex-en-Bornes,6.1720773,46.0527037
65,65,Villard,6.4393324,46.2167418
66,66,Allèves,6.08021,45.75197
67,67,Demi-Quartier,6.6395729,45.8811895
68,68,Clarafond,5.8930508,46.06398
69,69,Arcine,5.8998744,46.0822496
70,70,Bloye,5.9449214,45.8258123
71,71,Boussy,5.9820959,45.8558489
72,72,Marigny-Saint-Marcel,5.98522,45.82842
73,73,Massingy,5.91952,45.82924
74,74,Chavanod,6.0525071,45.8842342
75,75,Chêne-en-Semine,5.8579956,46.0467113
76,76,Vanzy,5.8872815,46.0423558
77,77,Usinens,5.8421464,46.0091094
78,78,Menthonnex-sous-Clermont,5.9352385,45.9650687
79,79,Versonnex,5.9269943,45.9285452
80,80,Bassy,5.8298999,45.9808688
81,81,Challonges,5.8308731,46.0190391
82,82,Crempigny-Bonneguête,5.9034213,45.9519856
83,83,Franclens,5.8295325,46.0424606
84,84,Thusy,5.949001,45.9467567
85,85,Musièges,5.9531938,46.0153392
86,86,Lornay,5.9013389,45.9166638
87,87,Moye,5.912026,45.8761892
88,88,Vallières-sur-Fier,5.9352533,45.9007169
89,89,Hauteville-sur-Fier,5.9744934,45.9036997
90,90,Saint-Eusèbe,5.9629164,45.9296525
91,91,Sales,5.9598575,45.8742767
92,92,Vaulx,5.9970594,45.929661
93,93,Étercy,6.0095933,45.8908292
94,94,Saint-Laurent,6.3588008,46.0465736
95,95,Saint-Sixt,6.3293244,46.0529562
96,96,Ayse,6.4371838,46.0825975
97,97,Eteaux,6.2941899,46.0653709
98,98,Chessenaz,5.8986828,46.034437
99,99,Chevrier,5.9178853,46.108294
100,100,Lovagny,6.0323984,45.9040724
101,101,Villy-le-Pelloux,6.1326256,46.000001
102,102,Évires,6.2237398,46.03763
103,103,Charvonnex,6.1567999,45.9769593
104,104,Chevaline,6.2196059,45.7623812
105,105,Argonay,6.1428018,45.9440884
106,106,Étrembières,6.2261757,46.1786453
107,107,Juvigny,6.2808791,46.2148263
108,108,Brenthonne,6.3941025,46.2735521
109,109,Saxel,6.3953618,46.2431297
110,110,Lullin,6.5215371,46.2835781
111,111,Vougy,6.4907846,46.066516
112,112,Nancy-sur-Cluses,6.5777368,46.0433318
113,113,Saint-Sigismond,6.6140875,46.0725065
114,114,Les Houches,6.799138,45.891508
115,115,Vallorcine,6.9324887,46.0340383
116,116,La Rivière-Enverse,6.6360439,46.0926895
117,117,Châtillon-sur-Cluses,6.5826638,46.0867798
118,118,La Côte-d'Arbroz,6.6666204,46.1877352
119,119,Essert-Romand,6.6703081,46.2017134
120,120,Seytroux,6.6193891,46.2488808
121,121,La Baume,6.6132443,46.2831195
122,122,Thollon-les-Mémises,6.6989377,46.3910383
123,123,Vacheresse,6.6698082,46.3261322
124,124,Saint-Paul-en-Chablais,6.6291927,46.3785225
125,125,Maxilly-sur-Léman,6.6322008,46.3994632
126,126,Neuvecelle,6.6122858,46.3955991
127,127,Champanges,6.5524965,46.3702238
128,128,Marin,6.5286902,46.3763427
129,129,Ballaison,6.3281152,46.2984094
130,130,Fessy,6.4131679,46.2765323
131,131,Lully,6.4145431,46.284893
132,132,Cervens,6.4415552,46.2854365
133,133,Draillant,6.4591471,46.3049414
134,134,Perrignier,6.4418109,46.3044117
135,135,La Forclaz,6.6147146,46.3218031
136,136,Féternes,6.5635631,46.3525583
137,137,Armoy,6.5195025,46.3479165
138,138,Lyaud,6.5217788,46.3374309
139,139,Reyvroz,6.5599976,46.3260431
140,140,Samoëns,6.7269485,46.0834066
141,141,Flaine,6.6903664,46.0068544
142,142,Les Carroz,6.6383866,46.0254794
143,143,Les Bossons,6.8420548,45.9071485
144,144,Sixt-Fer-à-Cheval,6.775372,46.0547052
145,145,Saint-Pierre-en-Faucigny,6.3680865,46.0589885
146,146,Vinzier,6.6192315,46.3510123
147,147,La Frasse,6.6301066,46.056373
148,148,Esserts-Salève,6.218891,46.1470422
149,149,Mornex,6.2378,46.1663027
150,150,Luzier,6.6378245,45.9682924
151,151,Cruseilles,6.1069469,46.0338359
152,152,Brens,6.3434542,46.2658924
153,153,La Cote,6.7573627,45.9425465
154,154,Glières-Val-de-Borne,6.3891171,45.9829515
155,155,Marlens,6.3488282,45.7683094
156,156,Pringy,6.1221356,45.9465361
157,157,Machevaz,6.1493575,45.8318729
158,158,Cessenaz,6.1472289,45.8403524
159,159,Vieugy,6.0865596,45.8630151
160,160,Corbier,6.0558191,45.8797722
