RegNo,Manufacturer,CarModel,YearOfPurchase
3C3CFFDR2FT212065,Saab,Mitsubishi,1996
1FTSX2A56AE727901,Dodge,Chevrolet,1995
1FTWX3B52AE252253,Pontiac,Toyota,1989
WAUVC68E73A672052,BMW,Dodge,1995
WBA6A0C5XFG482343,GMC,Mitsubishi,2001
19UUB3F59FA958929,Audi,Subaru,1989
2T1KU4EE0DC750213,Porsche,Infiniti,1990
5N1AN0NU4AC221579,Volvo,Ford,2007
WBADS43481G973005,Porsche,GMC,1989
WA1VMBFE5BD604853,Pontiac,BMW,2000
WDDHF2EB6DA780082,Corbin,Isuzu,1999
WAUDT48H55K137485,Ford,Cadillac,1997
WAUVT68EX5A012851,Mazda,Kia,2009
19UUA8F57DA024569,Suzuki,Mercedes-Benz,1994
19UUB2F35FA885079,Ford,Audi,1983
1B3CB7HB6AD651621,Land Rover,GMC,2012
KL4CJCSB2DB298551,Chrysler,Mazda,2009
WUALNAFG8EN937555,Volkswagen,Volkswagen,2004
WAUHF78P88A942005,Ford,Mitsubishi,2007
1GYFC36259R873760,Ford,Chevrolet,2009
1G6AH5RX3E0181342,Mercury,Suzuki,1999
1GYUCAEF9AR723607,Buick,Isuzu,2003
WBA3X5C56FD402309,Isuzu,Volvo,1998
1GYS3KEF5CR363803,GMC,Chevrolet,2006
1N4AL2AP4CC890031,Mazda,Jaguar,1992
WAUNG74F39N956708,Mercedes-Benz,Volkswagen,1981
1GYS4GKJ7FR701922,Saab,Chevrolet,2005
1J4NF1GB3AD150156,Cadillac,Chevrolet,2008
1GYEE437990994906,Ford,Lotus,2013
3C3CFFFH2FT500270,Buick,Volvo,1990
WAUFL44D03N062962,Mazda,Dodge,2012
TRUDD38J791415186,Dodge,Buick,1998
3VW507ATXFM973686,Ford,Volvo,1998
JN8AZ1MU3CW711727,Chevrolet,Mazda,1961
3D7TT2HT4BG400162,Dodge,Acura,2003
WAUFFAFL6FA251573,Chevrolet,Volkswagen,1967
1FMHK7B87CG255466,Infiniti,Subaru,2007
2G4WS52J321201711,Lexus,Dodge,2011
WBSBR93441E858506,Ferrari,Jeep,2007
